elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
1376.9,43,31,21.67,0,11474,Not Active,Not Active,Not Active
1387.0,43,31,21.56,0,11474,Not Active,Not Active,Not Active
1397.0,45,29,54.06,0,11645,Not Active,Not Active,Not Active
1407.1,49,12,83.21,0,11519,Not Active,Not Active,Not Active
1417.1,47,27,41.77,0,11547,Not Active,Not Active,Not Active
1427.2,63,19,164.87,76,11685,Not Active,Not Active,Not Active
1437.2,46,28,22.27,0,11685,Not Active,Not Active,Not Active
1447.3,45,29,21.88,0,11685,Not Active,Not Active,Not Active
1457.3,44,30,21.88,0,11685,Not Active,Not Active,Not Active
1467.4,44,30,21.98,0,11685,Not Active,Not Active,Not Active
1477.4,43,31,21.57,0,11685,Not Active,Not Active,Not Active
1487.4,43,31,21.82,1,11685,Not Active,Not Active,Not Active
1497.5,43,31,21.32,0,11685,Not Active,Not Active,Not Active
1507.5,42,32,21.37,0,11685,Not Active,Not Active,Not Active
1517.6,42,32,21.81,0,11675,Not Active,Not Active,Not Active
1527.7,44,30,39.66,0,11559,Not Active,Not Active,Not Active
1537.7,44,29,24.33,2,14245,Not Active,Not Active,Not Active
1547.8,45,29,39.85,0,11563,Not Active,Not Active,Not Active
1557.8,58,25,234.93,23,14195,Not Active,Not Active,Not Active
1567.9,53,21,76.27,29,11545,Not Active,Not Active,Not Active
1577.9,49,25,130.04,0,14187,Not Active,Not Active,Not Active
1588.0,46,28,26.20,0,11695,Not Active,Not Active,Not Active
1598.0,45,29,21.68,0,11695,Not Active,Not Active,Not Active
1608.1,44,30,22.03,0,11695,Not Active,Not Active,Not Active
1618.1,44,30,22.24,0,11695,Not Active,Not Active,Not Active
1628.2,43,31,21.90,0,11695,Not Active,Not Active,Not Active
1638.2,43,31,21.87,0,11695,Not Active,Not Active,Not Active
1648.3,42,32,21.55,1,11695,Not Active,Not Active,Not Active
1658.3,42,32,21.82,0,11695,Not Active,Not Active,Not Active
1668.3,42,32,21.69,0,11695,Not Active,Not Active,Not Active
1678.4,46,28,81.23,0,10893,Not Active,Not Active,Not Active
1688.4,64,9,234.06,100,14269,Not Active,Not Active,Not Active
1698.5,63,20,112.79,99,11623,Not Active,Not Active,Not Active
1708.5,51,23,228.40,0,14265,Not Active,Not Active,Not Active
1718.6,46,28,22.42,0,14265,Not Active,Not Active,Not Active
1728.6,45,29,22.11,0,14265,Not Active,Not Active,Not Active
1738.6,44,30,22.09,0,14265,Not Active,Not Active,Not Active
1748.7,44,30,21.74,0,14265,Not Active,Not Active,Not Active
1758.7,43,31,21.49,0,14265,Not Active,Not Active,Not Active
1768.8,43,31,21.68,0,14265,Not Active,Not Active,Not Active
1778.8,42,32,21.69,0,14265,Not Active,Not Active,Not Active
1788.9,42,32,22.05,0,14265,Not Active,Not Active,Not Active
1798.9,42,32,21.39,0,14265,Not Active,Not Active,Not Active
1809.0,56,18,130.26,22,11627,Not Active,Not Active,Not Active
1819.0,49,25,258.49,0,14307,Not Active,Not Active,Not Active
1829.0,63,20,178.82,44,11471,Not Active,Not Active,Not Active
1839.1,51,13,88.86,4,14311,Not Active,Not Active,Not Active
1849.2,46,28,22.38,0,14311,Not Active,Not Active,Not Active
1859.2,45,29,22.22,1,14311,Not Active,Not Active,Not Active
