elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
2703.5,44,30,21.67,0,11745,Not Active,Not Active,Not Active
2713.7,43,31,21.68,0,11745,Not Active,Not Active,Not Active
2723.7,43,31,21.84,0,11745,Not Active,Not Active,Not Active
2733.8,43,31,23.52,0,11745,Not Active,Not Active,Not Active
2743.8,42,32,21.90,0,11745,Not Active,Not Active,Not Active
2753.8,42,32,21.68,0,11745,Not Active,Not Active,Not Active
2764.0,47,17,119.40,98,11575,Not Active,Not Active,Not Active
2774.1,44,30,40.21,0,11669,Not Active,Not Active,Not Active
2784.1,49,25,154.65,0,11669,Not Active,Not Active,Not Active
2794.2,47,27,40.44,0,11747,Not Active,Not Active,Not Active
2804.2,50,25,119.69,0,11657,Not Active,Not Active,Not Active
2814.3,50,26,83.77,0,14351,Not Active,Not Active,Not Active
2824.3,45,29,22.41,0,14351,Not Active,Not Active,Not Active
2834.4,45,29,22.33,0,14351,Not Active,Not Active,Not Active
2844.5,44,30,21.82,0,14351,Not Active,Not Active,Not Active
2854.5,43,31,21.90,0,14351,Not Active,Not Active,Not Active
2864.6,43,31,21.92,0,14351,Not Active,Not Active,Not Active
2874.6,43,31,21.85,0,14351,Not Active,Not Active,Not Active
2884.7,42,32,22.77,1,14351,Not Active,Not Active,Not Active
2894.7,42,32,21.81,0,14351,Not Active,Not Active,Not Active
2904.8,49,27,262.42,3,14351,Not Active,Not Active,Not Active
2914.8,62,24,187.90,100,11825,Not Active,Not Active,Not Active
2924.8,46,28,40.09,0,11641,Not Active,Not Active,Not Active
2934.9,48,27,83.54,0,11621,Not Active,Not Active,Not Active
2945.0,50,24,83.77,0,14259,Not Active,Not Active,Not Active
2955.0,46,28,22.78,0,14259,Not Active,Not Active,Not Active
2965.0,45,29,22.48,0,14259,Not Active,Not Active,Not Active
2975.1,44,30,22.46,0,14259,Not Active,Not Active,Not Active
2985.1,44,30,22.49,0,14259,Not Active,Not Active,Not Active
2995.2,43,31,22.12,0,14259,Not Active,Not Active,Not Active
3005.2,43,31,22.53,0,14259,Not Active,Not Active,Not Active
3015.2,43,31,22.07,0,14259,Not Active,Not Active,Not Active
3025.3,42,32,21.67,0,14259,Not Active,Not Active,Not Active
3035.4,55,29,70.67,49,11649,Not Active,Not Active,Not Active
3045.4,48,10,149.12,5,14217,Not Active,Not Active,Not Active
3055.5,50,24,86.77,0,13121,Not Active,Not Active,Not Active
3065.5,48,26,43.88,0,11633,Not Active,Not Active,Not Active
3075.6,46,28,22.84,0,11633,Not Active,Not Active,Not Active
3085.6,45,29,22.58,0,11633,Not Active,Not Active,Not Active
3095.7,44,30,22.35,0,11633,Not Active,Not Active,Not Active
3105.7,44,30,22.53,0,11633,Not Active,Not Active,Not Active
3115.8,43,31,21.75,0,11633,Not Active,Not Active,Not Active
3125.8,43,31,22.12,0,11633,Not Active,Not Active,Not Active
3135.9,43,31,21.78,0,11633,Not Active,Not Active,Not Active
3145.9,42,32,21.91,0,11633,Not Active,Not Active,Not Active
3156.0,60,14,196.79,99,11749,Not Active,Not Active,Not Active
3166.0,51,23,285.02,0,14309,Not Active,Not Active,Not Active
3176.1,64,10,225.29,100,14347,Not Active,Not Active,Not Active
3186.1,49,25,98.42,0,11499,Not Active,Not Active,Not Active
3196.2,47,27,39.97,0,11651,Not Active,Not Active,Not Active
3206.2,46,28,22.26,0,11651,Not Active,Not Active,Not Active
3216.3,45,29,21.75,1,11651,Not Active,Not Active,Not Active
3226.3,44,30,22.15,1,11651,Not Active,Not Active,Not Active
3236.4,44,30,21.66,0,11651,Not Active,Not Active,Not Active
3246.4,43,31,21.73,0,11651,Not Active,Not Active,Not Active
3256.5,43,31,21.63,0,11651,Not Active,Not Active,Not Active
3266.6,43,31,21.89,1,11651,Not Active,Not Active,Not Active
3276.6,42,32,21.40,0,11651,Not Active,Not Active,Not Active
3286.7,42,32,20.81,0,11651,Not Active,Not Active,Not Active
3296.7,47,27,79.85,0,11701,Not Active,Not Active,Not Active
3306.8,51,24,273.74,0,14371,Not Active,Not Active,Not Active
3316.8,55,23,201.27,0,11771,Not Active,Not Active,Not Active
