elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
1366.9,43,31,21.89,0,10306,Not Active,Not Active,Not Active
1376.9,42,32,21.67,0,10306,Not Active,Not Active,Not Active
1387.0,42,32,21.89,0,10306,Not Active,Not Active,Not Active
1397.0,41,33,21.68,1,10306,Not Active,Not Active,Not Active
1407.1,41,33,21.59,0,10306,Not Active,Not Active,Not Active
1417.1,41,33,21.68,0,10306,Not Active,Not Active,Not Active
1427.2,40,34,21.40,0,10306,Not Active,Not Active,Not Active
1437.2,45,30,192.17,0,12808,Not Active,Not Active,Not Active
1447.3,59,26,112.39,96,10260,Not Active,Not Active,Not Active
1457.3,52,24,265.00,0,12848,Not Active,Not Active,Not Active
1467.4,46,28,39.82,0,12914,Not Active,Not Active,Not Active
1477.5,44,30,21.95,0,12914,Not Active,Not Active,Not Active
1487.5,43,31,22.11,0,12914,Not Active,Not Active,Not Active
1497.6,42,32,21.83,0,12914,Not Active,Not Active,Not Active
1507.6,42,32,22.18,0,12914,Not Active,Not Active,Not Active
1517.7,41,33,21.90,0,12914,Not Active,Not Active,Not Active
1527.7,41,33,21.97,0,12914,Not Active,Not Active,Not Active
1537.7,41,33,22.09,0,12914,Not Active,Not Active,Not Active
1547.8,40,34,21.42,0,12914,Not Active,Not Active,Not Active
1557.8,43,27,73.61,0,10264,Not Active,Not Active,Not Active
1567.9,62,23,250.04,100,12810,Not Active,Not Active,Not Active
1577.9,59,25,156.52,99,9682,Not Active,Not Active,Not Active
1588.0,45,29,40.02,0,12832,Not Active,Not Active,Not Active
1598.0,43,31,21.91,0,12832,Not Active,Not Active,Not Active
1608.1,43,31,21.87,0,12832,Not Active,Not Active,Not Active
1618.1,42,32,21.68,1,12832,Not Active,Not Active,Not Active
1628.2,42,32,21.57,0,12832,Not Active,Not Active,Not Active
1638.2,41,33,21.77,0,12832,Not Active,Not Active,Not Active
1648.3,41,33,21.72,0,12832,Not Active,Not Active,Not Active
1658.3,40,34,21.71,0,12832,Not Active,Not Active,Not Active
1668.4,40,34,21.59,0,12832,Not Active,Not Active,Not Active
1678.4,48,28,271.18,0,12966,Not Active,Not Active,Not Active
1688.5,49,24,131.67,0,10292,Not Active,Not Active,Not Active
1698.6,49,24,257.63,0,12986,Not Active,Not Active,Not Active
1708.6,44,30,22.76,0,10098,Not Active,Not Active,Not Active
1718.7,43,31,21.74,0,10098,Not Active,Not Active,Not Active
1728.7,42,32,21.67,0,10098,Not Active,Not Active,Not Active
1738.9,42,32,21.69,0,10098,Not Active,Not Active,Not Active
1748.9,41,33,21.52,0,10098,Not Active,Not Active,Not Active
1759.0,41,33,21.77,0,10098,Not Active,Not Active,Not Active
1769.0,41,33,21.66,0,10098,Not Active,Not Active,Not Active
1779.1,40,34,21.55,0,10098,Not Active,Not Active,Not Active
1789.1,40,34,21.57,0,10098,Not Active,Not Active,Not Active
1799.1,58,15,171.77,99,10240,Not Active,Not Active,Not Active
1809.2,48,27,132.12,0,11302,Not Active,Not Active,Not Active
1819.2,48,26,129.01,0,10132,Not Active,Not Active,Not Active
1829.3,44,30,22.15,0,10132,Not Active,Not Active,Not Active
1839.3,43,31,22.10,1,10132,Not Active,Not Active,Not Active
1849.4,42,32,21.60,0,10132,Not Active,Not Active,Not Active
1859.4,42,32,21.92,0,10132,Not Active,Not Active,Not Active
1869.5,41,33,21.92,0,10132,Not Active,Not Active,Not Active
1879.5,41,33,21.89,0,10132,Not Active,Not Active,Not Active
1889.6,41,33,21.61,1,10132,Not Active,Not Active,Not Active
1899.6,40,34,21.70,0,10132,Not Active,Not Active,Not Active
1909.7,44,30,135.27,0,10392,Not Active,Not Active,Not Active
1919.8,46,21,83.27,0,13006,Not Active,Not Active,Not Active
1929.8,54,25,195.03,0,10300,Not Active,Not Active,Not Active
1939.8,45,29,39.90,0,10322,Not Active,Not Active,Not Active
1949.9,43,31,22.19,0,10322,Not Active,Not Active,Not Active
1959.9,43,31,22.32,0,10322,Not Active,Not Active,Not Active
1970.0,42,32,21.97,0,10322,Not Active,Not Active,Not Active
1980.0,42,32,21.79,0,10322,Not Active,Not Active,Not Active
1990.1,41,33,21.92,0,10322,Not Active,Not Active,Not Active
2000.1,41,33,21.50,0,10322,Not Active,Not Active,Not Active
2010.2,40,34,21.63,0,10322,Not Active,Not Active,Not Active
2020.2,40,34,21.61,0,10322,Not Active,Not Active,Not Active
2030.3,59,13,150.74,100,12848,Not Active,Not Active,Not Active
2040.4,48,15,175.00,0,12844,Not Active,Not Active,Not Active
2050.4,48,13,92.83,0,10324,Not Active,Not Active,Not Active
2060.5,44,30,22.16,0,10676,Not Active,Not Active,Not Active
2070.5,43,31,21.95,0,10676,Not Active,Not Active,Not Active
2080.6,42,32,21.81,0,10676,Not Active,Not Active,Not Active
2090.6,42,32,21.86,1,10676,Not Active,Not Active,Not Active
2100.6,41,33,21.61,0,10676,Not Active,Not Active,Not Active
2110.7,41,33,21.76,0,10676,Not Active,Not Active,Not Active
2120.7,41,33,21.60,0,10676,Not Active,Not Active,Not Active
2130.8,40,34,21.69,0,10676,Not Active,Not Active,Not Active
2140.8,40,34,21.35,0,10676,Not Active,Not Active,Not Active
2150.9,46,26,164.92,50,10322,Not Active,Not Active,Not Active
2160.9,51,26,288.97,0,13006,Not Active,Not Active,Not Active
2171.0,62,24,212.92,100,10432,Not Active,Not Active,Not Active
2181.1,44,30,22.52,0,13038,Not Active,Not Active,Not Active
2191.1,43,31,22.05,0,13038,Not Active,Not Active,Not Active
2201.2,42,32,22.06,0,13038,Not Active,Not Active,Not Active
2211.2,42,32,22.13,0,13038,Not Active,Not Active,Not Active
2221.3,41,33,21.86,0,13038,Not Active,Not Active,Not Active
2231.3,41,33,22.10,0,13038,Not Active,Not Active,Not Active
2241.4,41,33,21.83,0,13038,Not Active,Not Active,Not Active
2251.4,41,33,22.14,0,13038,Not Active,Not Active,Not Active
2261.4,40,34,21.98,1,13038,Not Active,Not Active,Not Active
2271.5,46,22,118.80,0,13014,Not Active,Not Active,Not Active
2281.6,52,14,175.63,95,10356,Not Active,Not Active,Not Active
2291.6,62,13,118.02,100,12908,Not Active,Not Active,Not Active
2301.7,44,30,22.21,0,12908,Not Active,Not Active,Not Active
2311.8,43,31,22.17,0,12908,Not Active,Not Active,Not Active
2321.8,43,31,21.97,1,12908,Not Active,Not Active,Not Active
2331.9,42,32,22.39,0,12908,Not Active,Not Active,Not Active
2341.9,42,32,21.79,0,12908,Not Active,Not Active,Not Active
2351.9,41,33,21.86,0,12908,Not Active,Not Active,Not Active
2362.0,41,33,22.04,0,12908,Not Active,Not Active,Not Active
2372.0,41,33,23.00,0,12908,Not Active,Not Active,Not Active
2382.1,40,34,22.02,0,12908,Not Active,Not Active,Not Active
2392.1,47,27,167.80,0,10570,Not Active,Not Active,Not Active
2402.2,50,25,270.87,0,12972,Not Active,Not Active,Not Active
2412.2,49,25,126.99,0,10170,Not Active,Not Active,Not Active
2422.3,44,30,22.34,0,10170,Not Active,Not Active,Not Active
2432.3,43,31,22.67,0,10170,Not Active,Not Active,Not Active
2442.4,43,31,22.05,0,10170,Not Active,Not Active,Not Active
2452.4,42,32,22.00,0,10170,Not Active,Not Active,Not Active
2462.4,42,32,21.45,0,10170,Not Active,Not Active,Not Active
2472.5,41,33,21.63,0,10170,Not Active,Not Active,Not Active
2482.5,41,33,21.89,0,10170,Not Active,Not Active,Not Active
2492.6,41,33,21.38,0,10170,Not Active,Not Active,Not Active
2502.6,44,30,78.72,0,10170,Not Active,Not Active,Not Active
2512.7,47,27,204.38,0,12910,Not Active,Not Active,Not Active
2522.7,51,24,178.53,33,10154,Not Active,Not Active,Not Active
2532.7,46,28,40.21,0,10308,Not Active,Not Active,Not Active
2542.8,44,30,22.11,0,10308,Not Active,Not Active,Not Active
2552.8,43,31,22.27,0,10308,Not Active,Not Active,Not Active
2562.9,42,32,22.29,0,10308,Not Active,Not Active,Not Active
2572.9,42,32,21.67,0,10308,Not Active,Not Active,Not Active
2583.0,41,33,21.70,0,10308,Not Active,Not Active,Not Active
2593.0,41,33,21.82,0,10308,Not Active,Not Active,Not Active
2603.1,41,33,22.19,0,10308,Not Active,Not Active,Not Active
2613.1,40,34,21.66,0,10308,Not Active,Not Active,Not Active
2623.2,50,26,287.73,0,13048,Not Active,Not Active,Not Active
2633.2,58,24,168.27,99,10222,Not Active,Not Active,Not Active
2643.2,49,25,198.17,0,12932,Not Active,Not Active,Not Active
2653.3,45,29,23.36,0,10364,Not Active,Not Active,Not Active
2663.3,43,31,22.08,0,10364,Not Active,Not Active,Not Active
2673.4,43,31,21.87,0,10364,Not Active,Not Active,Not Active
2683.5,42,32,21.69,0,10364,Not Active,Not Active,Not Active
2693.6,42,32,21.75,0,10364,Not Active,Not Active,Not Active
2703.6,41,33,21.95,1,10364,Not Active,Not Active,Not Active
2713.6,41,33,21.28,0,10364,Not Active,Not Active,Not Active
2723.7,40,34,21.31,0,10364,Not Active,Not Active,Not Active
2733.7,40,34,21.63,0,10364,Not Active,Not Active,Not Active
2743.8,50,27,166.99,96,10246,Not Active,Not Active,Not Active
2753.8,61,10,141.67,100,12796,Not Active,Not Active,Not Active
2763.9,51,25,212.05,0,10350,Not Active,Not Active,Not Active
2774.0,44,30,22.49,0,10350,Not Active,Not Active,Not Active
2784.0,43,31,21.95,0,10350,Not Active,Not Active,Not Active
2794.1,42,32,21.81,0,10350,Not Active,Not Active,Not Active
2804.1,42,32,22.38,0,10350,Not Active,Not Active,Not Active
2814.2,41,33,21.68,0,10350,Not Active,Not Active,Not Active
2824.2,41,33,21.84,0,10350,Not Active,Not Active,Not Active
2834.3,41,33,21.60,0,10350,Not Active,Not Active,Not Active
2844.3,40,34,21.47,0,10350,Not Active,Not Active,Not Active
2854.3,40,34,21.69,0,10350,Not Active,Not Active,Not Active
2864.4,48,27,272.43,0,13006,Not Active,Not Active,Not Active
2874.5,60,25,174.23,99,10074,Not Active,Not Active,Not Active
2884.5,49,25,126.58,0,12914,Not Active,Not Active,Not Active
2894.6,44,30,21.91,0,12914,Not Active,Not Active,Not Active
2904.6,43,31,22.00,1,12955,Not Active,Not Active,Not Active
2914.7,43,31,21.71,0,12955,Not Active,Not Active,Not Active
2924.7,42,32,21.82,0,12955,Not Active,Not Active,Not Active
2934.7,41,33,21.69,0,12955,Not Active,Not Active,Not Active
2944.8,41,33,21.17,1,12955,Not Active,Not Active,Not Active
2954.8,41,33,21.55,0,12955,Not Active,Not Active,Not Active
2964.9,40,34,21.35,0,12955,Not Active,Not Active,Not Active
2975.0,46,19,25.46,100,12955,Not Active,Not Active,Not Active
2985.0,47,14,159.52,0,10411,Not Active,Not Active,Not Active
2995.1,49,22,180.24,0,10335,Not Active,Not Active,Not Active
3005.2,50,24,183.16,0,12861,Not Active,Not Active,Not Active
3015.2,44,30,21.86,0,12861,Not Active,Not Active,Not Active
3025.2,43,31,21.92,0,12861,Not Active,Not Active,Not Active
3035.3,43,31,21.34,0,12861,Not Active,Not Active,Not Active
3045.3,42,32,21.39,0,12861,Not Active,Not Active,Not Active
3055.4,44,30,67.58,0,12871,Not Active,Not Active,Not Active
3065.4,41,33,21.15,0,12861,Not Active,Not Active,Not Active
3075.5,41,33,21.13,0,12861,Not Active,Not Active,Not Active
3085.6,41,33,20.84,0,12861,Not Active,Not Active,Not Active
3095.6,40,33,20.96,0,9847,Not Active,Not Active,Not Active
3105.7,63,10,238.39,100,12873,Not Active,Not Active,Not Active
3115.7,50,25,128.32,0,10281,Not Active,Not Active,Not Active
3125.8,46,28,40.20,0,10261,Not Active,Not Active,Not Active
3135.8,44,30,21.86,0,10261,Not Active,Not Active,Not Active
3145.8,43,31,21.79,0,10261,Not Active,Not Active,Not Active
3155.9,42,32,21.70,1,10261,Not Active,Not Active,Not Active
3165.9,42,32,20.98,0,10261,Not Active,Not Active,Not Active
3176.0,41,33,21.70,0,10261,Not Active,Not Active,Not Active
3186.0,41,33,21.26,0,10261,Not Active,Not Active,Not Active
3196.1,41,33,22.16,0,10266,Not Active,Not Active,Not Active
3206.1,40,34,21.00,0,10266,Not Active,Not Active,Not Active
3216.2,61,27,242.23,100,12912,Not Active,Not Active,Not Active
3226.2,60,14,162.72,68,10290,Not Active,Not Active,Not Active
3236.2,50,24,265.15,0,12966,Not Active,Not Active,Not Active
3246.3,44,30,23.18,0,10318,Not Active,Not Active,Not Active
3256.3,43,31,21.79,0,10318,Not Active,Not Active,Not Active
3266.4,43,31,21.57,0,10318,Not Active,Not Active,Not Active
3276.4,42,32,22.08,0,10318,Not Active,Not Active,Not Active
3286.4,42,32,21.44,0,10318,Not Active,Not Active,Not Active
3296.5,41,33,22.13,12,10318,Not Active,Not Active,Not Active
3306.5,41,33,21.73,0,10318,Not Active,Not Active,Not Active
3316.6,41,33,21.85,1,10318,Not Active,Not Active,Not Active
3326.7,40,34,21.23,0,10318,Not Active,Not Active,Not Active
3336.8,55,16,113.17,92,10290,Not Active,Not Active,Not Active
3346.8,63,10,241.98,100,13012,Not Active,Not Active,Not Active
3356.8,49,25,90.83,0,9386,Not Active,Not Active,Not Active
3366.9,44,30,21.82,0,10648,Not Active,Not Active,Not Active
3376.9,43,31,22.21,1,10647,Not Active,Not Active,Not Active
3387.0,43,31,21.73,0,10647,Not Active,Not Active,Not Active
3397.0,42,32,21.70,0,10647,Not Active,Not Active,Not Active
3407.1,42,32,21.65,0,10647,Not Active,Not Active,Not Active
3417.1,41,33,23.15,0,10643,Not Active,Not Active,Not Active
3427.2,41,33,21.17,0,10643,Not Active,Not Active,Not Active
3437.2,41,33,21.17,0,10643,Not Active,Not Active,Not Active
3447.3,40,34,21.42,0,10643,Not Active,Not Active,Not Active
3457.3,48,26,202.68,0,10363,Not Active,Not Active,Not Active
3467.3,48,26,179.62,0,12951,Not Active,Not Active,Not Active
3477.4,48,25,83.22,0,10360,Not Active,Not Active,Not Active
3487.5,44,30,21.83,0,10360,Not Active,Not Active,Not Active
3497.5,43,31,21.97,0,10360,Not Active,Not Active,Not Active
3507.6,42,32,21.36,0,10360,Not Active,Not Active,Not Active
3517.6,42,32,21.54,0,10360,Not Active,Not Active,Not Active
3527.7,41,33,21.56,0,10360,Not Active,Not Active,Not Active
3537.7,41,33,21.67,0,10360,Not Active,Not Active,Not Active
3547.8,40,34,22.06,0,10360,Not Active,Not Active,Not Active
3557.8,40,34,20.77,0,10360,Not Active,Not Active,Not Active
3567.9,45,29,249.76,0,12882,Not Active,Not Active,Not Active
3577.9,47,28,204.27,0,12632,Not Active,Not Active,Not Active
3588.0,49,16,157.58,0,13054,Not Active,Not Active,Not Active
3598.0,46,28,56.69,0,12966,Not Active,Not Active,Not Active
