elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
4242.4,39,35,28.52,12,2483,Not Active,Not Active,Not Active
4252.4,39,35,28.05,16,2488,Not Active,Not Active,Not Active
4262.5,39,35,27.78,17,2488,Not Active,Not Active,Not Active
4272.5,39,35,27.19,17,2486,Not Active,Not Active,Not Active
4282.6,39,35,27.85,15,2481,Not Active,Not Active,Not Active
4292.6,39,35,28.41,45,2519,Not Active,Not Active,Not Active
4302.7,39,35,28.18,23,2502,Not Active,Not Active,Not Active
4312.7,39,35,28.16,16,2514,Not Active,Not Active,Not Active
4322.8,39,35,28.00,16,2519,Not Active,Not Active,Not Active
4332.8,39,35,28.07,30,2519,Not Active,Not Active,Not Active
4342.9,39,35,27.66,15,2519,Not Active,Not Active,Not Active
4352.9,39,35,28.68,16,2519,Not Active,Not Active,Not Active
4363.0,39,35,27.56,17,2500,Not Active,Not Active,Not Active
4373.0,39,35,28.21,20,2500,Not Active,Not Active,Not Active
4383.1,39,35,28.14,23,2500,Not Active,Not Active,Not Active
4393.1,39,35,28.46,29,2500,Not Active,Not Active,Not Active
4403.2,39,35,28.84,35,2552,Not Active,Not Active,Not Active
4413.2,39,35,28.40,32,2497,Not Active,Not Active,Not Active
4423.3,39,35,27.97,22,2512,Not Active,Not Active,Not Active
4433.3,39,35,28.11,21,2486,Not Active,Not Active,Not Active
4443.4,39,35,27.39,26,2494,Not Active,Not Active,Not Active
4453.4,39,35,26.32,12,2531,Not Active,Not Active,Not Active
4463.5,39,35,26.62,3,2486,Not Active,Not Active,Not Active
4473.5,39,35,28.16,20,2496,Not Active,Not Active,Not Active
4483.6,39,35,28.33,21,2495,Not Active,Not Active,Not Active
4493.6,39,35,27.20,20,2460,Not Active,Not Active,Not Active
4503.7,39,35,27.45,28,2562,Not Active,Not Active,Not Active
4513.7,39,35,26.50,2,2471,Not Active,Not Active,Not Active
4523.8,39,35,26.46,14,2461,Not Active,Not Active,Not Active
4533.8,39,35,26.61,15,2434,Not Active,Not Active,Not Active
4543.9,39,35,26.14,15,2433,Not Active,Not Active,Not Active
4553.9,38,35,26.58,16,2438,Not Active,Not Active,Not Active
4563.9,39,35,26.15,16,2438,Not Active,Not Active,Not Active
4574.0,39,35,26.11,15,2435,Not Active,Not Active,Not Active
4584.0,39,35,26.17,14,2438,Not Active,Not Active,Not Active
4594.1,39,35,26.41,15,2440,Not Active,Not Active,Not Active
4604.1,39,35,26.40,16,2440,Not Active,Not Active,Not Active
4614.2,39,35,26.56,16,2438,Not Active,Not Active,Not Active
4624.2,39,35,26.64,14,2438,Not Active,Not Active,Not Active
4634.3,39,35,25.97,15,2438,Not Active,Not Active,Not Active
4644.4,39,35,25.28,14,2438,Not Active,Not Active,Not Active
4654.5,39,35,25.15,14,2450,Not Active,Not Active,Not Active
4664.5,39,35,25.93,14,2439,Not Active,Not Active,Not Active
4674.6,39,35,25.84,15,2438,Not Active,Not Active,Not Active
4684.6,39,35,26.72,16,2438,Not Active,Not Active,Not Active
4694.6,39,35,26.51,38,2435,Not Active,Not Active,Not Active
4704.7,39,35,26.76,15,2435,Not Active,Not Active,Not Active
4714.7,39,35,26.59,14,2435,Not Active,Not Active,Not Active
4725.9,39,35,26.45,17,2434,Not Active,Not Active,Not Active
4735.9,38,36,27.02,14,2434,Not Active,Not Active,Not Active
4746.0,38,36,26.52,18,2435,Not Active,Not Active,Not Active
4756.0,38,36,26.73,17,2434,Not Active,Not Active,Not Active
4766.1,38,36,26.73,16,2434,Not Active,Not Active,Not Active
4776.1,38,36,25.86,14,2435,Not Active,Not Active,Not Active
4786.2,38,36,26.10,15,2434,Not Active,Not Active,Not Active
4796.2,38,36,26.01,17,2434,Not Active,Not Active,Not Active
4806.2,38,36,26.61,17,2435,Not Active,Not Active,Not Active
4816.3,38,36,26.49,14,2418,Not Active,Not Active,Not Active
4826.3,38,36,26.85,14,2430,Not Active,Not Active,Not Active
4836.4,38,36,26.89,18,2430,Not Active,Not Active,Not Active
4846.4,38,36,26.93,15,2430,Not Active,Not Active,Not Active
4856.5,38,36,25.97,17,2430,Not Active,Not Active,Not Active
4866.5,38,36,26.51,18,2430,Not Active,Not Active,Not Active
4876.5,38,36,26.67,15,2430,Not Active,Not Active,Not Active
4886.6,38,36,26.41,15,2430,Not Active,Not Active,Not Active
4896.7,38,36,26.39,16,2430,Not Active,Not Active,Not Active
4906.7,38,36,26.35,15,2430,Not Active,Not Active,Not Active
4916.7,38,36,26.08,15,2430,Not Active,Not Active,Not Active
4926.8,38,36,26.16,17,2430,Not Active,Not Active,Not Active
4936.8,38,36,26.74,17,2427,Not Active,Not Active,Not Active
4946.9,38,36,26.53,14,2428,Not Active,Not Active,Not Active
4956.9,38,36,26.19,17,2428,Not Active,Not Active,Not Active
4967.0,38,36,26.10,15,2426,Not Active,Not Active,Not Active
4977.0,38,36,26.86,15,2426,Not Active,Not Active,Not Active
4987.1,38,36,26.59,17,2427,Not Active,Not Active,Not Active
4997.1,38,36,27.62,18,2426,Not Active,Not Active,Not Active
5007.2,38,36,27.86,16,2426,Not Active,Not Active,Not Active
5017.2,38,36,27.60,16,2427,Not Active,Not Active,Not Active
5027.3,38,36,27.42,16,2427,Not Active,Not Active,Not Active
5037.3,38,36,26.89,17,2427,Not Active,Not Active,Not Active
5047.3,38,36,26.32,16,2427,Not Active,Not Active,Not Active
5057.4,38,36,26.02,15,2427,Not Active,Not Active,Not Active
5067.4,38,36,25.82,17,2427,Not Active,Not Active,Not Active
5077.5,38,36,26.27,16,2427,Not Active,Not Active,Not Active
5087.5,38,36,26.43,15,2427,Not Active,Not Active,Not Active
5097.6,38,36,26.11,17,2427,Not Active,Not Active,Not Active
5107.6,38,36,26.33,17,2427,Not Active,Not Active,Not Active
5117.7,38,36,26.83,15,2419,Not Active,Not Active,Not Active
5127.7,38,36,26.41,15,2433,Not Active,Not Active,Not Active
5137.8,38,36,26.41,17,2419,Not Active,Not Active,Not Active
5147.8,38,36,26.18,15,2419,Not Active,Not Active,Not Active
5157.9,38,36,26.42,17,2419,Not Active,Not Active,Not Active
5167.9,38,36,26.08,18,2419,Not Active,Not Active,Not Active
5177.9,38,36,26.26,16,2419,Not Active,Not Active,Not Active
5188.0,38,36,26.06,17,2419,Not Active,Not Active,Not Active
5198.0,38,36,25.51,17,2419,Not Active,Not Active,Not Active
5208.1,38,36,26.03,14,2419,Not Active,Not Active,Not Active
5218.1,38,36,26.26,16,2419,Not Active,Not Active,Not Active
5228.2,38,36,25.54,18,2420,Not Active,Not Active,Not Active
5238.2,38,36,26.21,17,2419,Not Active,Not Active,Not Active
5248.3,38,36,25.90,14,2419,Not Active,Not Active,Not Active
5258.3,38,36,25.82,15,2419,Not Active,Not Active,Not Active
5268.3,38,36,25.90,18,2419,Not Active,Not Active,Not Active
5278.4,38,36,26.05,17,2419,Not Active,Not Active,Not Active
5288.4,38,36,25.65,16,2419,Not Active,Not Active,Not Active
5298.5,38,36,25.62,17,2419,Not Active,Not Active,Not Active
5308.5,38,36,25.85,16,2419,Not Active,Not Active,Not Active
5318.6,38,36,25.95,15,2419,Not Active,Not Active,Not Active
5328.6,38,36,26.00,16,2419,Not Active,Not Active,Not Active
5338.7,38,36,26.30,17,2419,Not Active,Not Active,Not Active
5348.7,38,36,25.10,18,2420,Not Active,Not Active,Not Active
5358.8,38,36,25.76,15,2420,Not Active,Not Active,Not Active
5368.8,38,36,25.82,15,2418,Not Active,Not Active,Not Active
5378.8,38,36,25.87,15,2419,Not Active,Not Active,Not Active
5388.9,38,36,26.12,15,2419,Not Active,Not Active,Not Active
5398.9,38,36,25.64,17,2419,Not Active,Not Active,Not Active
5409.0,38,36,25.66,16,2419,Not Active,Not Active,Not Active
